cohort,event_id,energy_keV,sample_index,baseline_subtracted_adc,normalized_amplitude
Low energy,2407207,157.9752444466576,0,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,1,0.04812622,0.00012124822
Low energy,2407207,157.9752444466576,2,0.17312622,0.00043617067
Low energy,2407207,157.9752444466576,3,0.29812622,0.0007510931
Low energy,2407207,157.9752444466576,4,0.42312622,0.0010660156
Low energy,2407207,157.9752444466576,5,0.36062622,0.0009085543
Low energy,2407207,157.9752444466576,6,0.29812622,0.0007510931
Low energy,2407207,157.9752444466576,7,0.23562622,0.0005936319
Low energy,2407207,157.9752444466576,8,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,9,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,10,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,11,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,12,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,13,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,14,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,15,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,16,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,17,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,18,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,19,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,20,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,21,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,22,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,23,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,24,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,25,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,26,5.923126,0.014922603
Low energy,2407207,157.9752444466576,27,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,28,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,29,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,30,-5.076874,-0.012790572
Low energy,2407207,157.9752444466576,31,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,32,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,33,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,34,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,35,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,36,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,37,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,38,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,39,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,40,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,41,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,42,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,43,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,44,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,45,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,46,4.923126,0.012403224
Low energy,2407207,157.9752444466576,47,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,48,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,49,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,50,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,51,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,52,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,53,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,54,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,55,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,56,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,57,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,58,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,59,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,60,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,61,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,62,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,63,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,64,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,65,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,66,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,67,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,68,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,69,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,70,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,71,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,72,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,73,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,74,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,75,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,76,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,77,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,78,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,79,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,80,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,81,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,82,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,83,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,84,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,85,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,86,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,87,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,88,5.923126,0.014922603
Low energy,2407207,157.9752444466576,89,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,90,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,91,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,92,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,93,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,94,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,95,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,96,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,97,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,98,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,99,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,100,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,101,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,102,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,103,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,104,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,105,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,106,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,107,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,108,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,109,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,110,4.923126,0.012403224
Low energy,2407207,157.9752444466576,111,4.923126,0.012403224
Low energy,2407207,157.9752444466576,112,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,113,-5.076874,-0.012790572
Low energy,2407207,157.9752444466576,114,-5.076874,-0.012790572
Low energy,2407207,157.9752444466576,115,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,116,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,117,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,118,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,119,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,120,4.923126,0.012403224
Low energy,2407207,157.9752444466576,121,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,122,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,123,-6.076874,-0.015309951
Low energy,2407207,157.9752444466576,124,-6.076874,-0.015309951
Low energy,2407207,157.9752444466576,125,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,126,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,127,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,128,5.923126,0.014922603
Low energy,2407207,157.9752444466576,129,4.923126,0.012403224
Low energy,2407207,157.9752444466576,130,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,131,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,132,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,133,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,134,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,135,-6.076874,-0.015309951
Low energy,2407207,157.9752444466576,136,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,137,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,138,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,139,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,140,4.923126,0.012403224
Low energy,2407207,157.9752444466576,141,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,142,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,143,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,144,-5.076874,-0.012790572
Low energy,2407207,157.9752444466576,145,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,146,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,147,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,148,4.923126,0.012403224
Low energy,2407207,157.9752444466576,149,4.923126,0.012403224
Low energy,2407207,157.9752444466576,150,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,151,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,152,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,153,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,154,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,155,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,156,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,157,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,158,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,159,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,160,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,161,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,162,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,163,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,164,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,165,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,166,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,167,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,168,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,169,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,170,4.923126,0.012403224
Low energy,2407207,157.9752444466576,171,5.923126,0.014922603
Low energy,2407207,157.9752444466576,172,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,173,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,174,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,175,-6.076874,-0.015309951
Low energy,2407207,157.9752444466576,176,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,177,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,178,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,179,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,180,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,181,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,182,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,183,-6.076874,-0.015309951
Low energy,2407207,157.9752444466576,184,-7.076874,-0.01782933
Low energy,2407207,157.9752444466576,185,-5.076874,-0.012790572
Low energy,2407207,157.9752444466576,186,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,187,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,188,4.923126,0.012403224
Low energy,2407207,157.9752444466576,189,4.923126,0.012403224
Low energy,2407207,157.9752444466576,190,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,191,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,192,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,193,-6.076874,-0.015309951
Low energy,2407207,157.9752444466576,194,-6.076874,-0.015309951
Low energy,2407207,157.9752444466576,195,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,196,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,197,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,198,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,199,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,200,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,201,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,202,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,203,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,204,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,205,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,206,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,207,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,208,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,209,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,210,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,211,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,212,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,213,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,214,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,215,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,216,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,217,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,218,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,219,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,220,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,221,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,222,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,223,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,224,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,225,-5.076874,-0.012790572
Low energy,2407207,157.9752444466576,226,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,227,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,228,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,229,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,230,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,231,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,232,5.923126,0.014922603
Low energy,2407207,157.9752444466576,233,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,234,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,235,-6.076874,-0.015309951
Low energy,2407207,157.9752444466576,236,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,237,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,238,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,239,6.923126,0.017441982
Low energy,2407207,157.9752444466576,240,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,241,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,242,4.923126,0.012403224
Low energy,2407207,157.9752444466576,243,-8.076874,-0.020348711
Low energy,2407207,157.9752444466576,244,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,245,-5.076874,-0.012790572
Low energy,2407207,157.9752444466576,246,-5.076874,-0.012790572
Low energy,2407207,157.9752444466576,247,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,248,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,249,4.923126,0.012403224
Low energy,2407207,157.9752444466576,250,4.923126,0.012403224
Low energy,2407207,157.9752444466576,251,4.923126,0.012403224
Low energy,2407207,157.9752444466576,252,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,253,-5.076874,-0.012790572
Low energy,2407207,157.9752444466576,254,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,255,-7.076874,-0.01782933
Low energy,2407207,157.9752444466576,256,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,257,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,258,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,259,5.923126,0.014922603
Low energy,2407207,157.9752444466576,260,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,261,4.923126,0.012403224
Low energy,2407207,157.9752444466576,262,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,263,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,264,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,265,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,266,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,267,-5.076874,-0.012790572
Low energy,2407207,157.9752444466576,268,-6.076874,-0.015309951
Low energy,2407207,157.9752444466576,269,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,270,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,271,10.923126,0.0275195
Low energy,2407207,157.9752444466576,272,9.923126,0.025000121
Low energy,2407207,157.9752444466576,273,9.923126,0.025000121
Low energy,2407207,157.9752444466576,274,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,275,-11.076874,-0.02790685
Low energy,2407207,157.9752444466576,276,-7.076874,-0.01782933
Low energy,2407207,157.9752444466576,277,-15.076874,-0.037984367
Low energy,2407207,157.9752444466576,278,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,279,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,280,8.923126,0.022480741
Low energy,2407207,157.9752444466576,281,14.923126,0.03759702
Low energy,2407207,157.9752444466576,282,9.923126,0.025000121
Low energy,2407207,157.9752444466576,283,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,284,-6.076874,-0.015309951
Low energy,2407207,157.9752444466576,285,-9.076874,-0.02286809
Low energy,2407207,157.9752444466576,286,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,287,-7.076874,-0.01782933
Low energy,2407207,157.9752444466576,288,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,289,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,290,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,291,5.923126,0.014922603
Low energy,2407207,157.9752444466576,292,-0.07687378,-0.00019367422
Low energy,2407207,157.9752444466576,293,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,294,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,295,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,296,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,297,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,298,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,299,-8.076874,-0.020348711
Low energy,2407207,157.9752444466576,300,-9.076874,-0.02286809
Low energy,2407207,157.9752444466576,301,-7.076874,-0.01782933
Low energy,2407207,157.9752444466576,302,-4.076874,-0.0102711925
Low energy,2407207,157.9752444466576,303,9.923126,0.025000121
Low energy,2407207,157.9752444466576,304,11.923126,0.03003888
Low energy,2407207,157.9752444466576,305,15.923126,0.0401164
Low energy,2407207,157.9752444466576,306,8.923126,0.022480741
Low energy,2407207,157.9752444466576,307,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,308,-10.076874,-0.02538747
Low energy,2407207,157.9752444466576,309,-20.076874,-0.050581265
Low energy,2407207,157.9752444466576,310,-16.076874,-0.040503748
Low energy,2407207,157.9752444466576,311,-6.076874,-0.015309951
Low energy,2407207,157.9752444466576,312,5.923126,0.014922603
Low energy,2407207,157.9752444466576,313,16.923126,0.042635776
Low energy,2407207,157.9752444466576,314,12.923126,0.03255826
Low energy,2407207,157.9752444466576,315,9.923126,0.025000121
Low energy,2407207,157.9752444466576,316,2.9231262,0.0073644645
Low energy,2407207,157.9752444466576,317,-7.076874,-0.01782933
Low energy,2407207,157.9752444466576,318,-11.076874,-0.02790685
Low energy,2407207,157.9752444466576,319,-14.076874,-0.035464987
Low energy,2407207,157.9752444466576,320,-5.076874,-0.012790572
Low energy,2407207,157.9752444466576,321,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,322,4.923126,0.012403224
Low energy,2407207,157.9752444466576,323,13.923126,0.03507764
Low energy,2407207,157.9752444466576,324,8.923126,0.022480741
Low energy,2407207,157.9752444466576,325,8.923126,0.022480741
Low energy,2407207,157.9752444466576,326,1.9231262,0.0048450846
Low energy,2407207,157.9752444466576,327,-3.0768738,-0.0077518127
Low energy,2407207,157.9752444466576,328,-8.076874,-0.020348711
Low energy,2407207,157.9752444466576,329,-13.076874,-0.032945607
Low energy,2407207,157.9752444466576,330,-10.076874,-0.02538747
Low energy,2407207,157.9752444466576,331,-9.076874,-0.02286809
Low energy,2407207,157.9752444466576,332,0.9231262,0.0023257053
Low energy,2407207,157.9752444466576,333,14.923126,0.03759702
Low energy,2407207,157.9752444466576,334,13.923126,0.03507764
Low energy,2407207,157.9752444466576,335,15.923126,0.0401164
Low energy,2407207,157.9752444466576,336,3.9231262,0.009883844
Low energy,2407207,157.9752444466576,337,-5.076874,-0.012790572
Low energy,2407207,157.9752444466576,338,-11.076874,-0.02790685
Low energy,2407207,157.9752444466576,339,-16.076874,-0.040503748
Low energy,2407207,157.9752444466576,340,-8.076874,-0.020348711
Low energy,2407207,157.9752444466576,341,-2.0768738,-0.0052324333
Low energy,2407207,157.9752444466576,342,6.923126,0.017441982
Low energy,2407207,157.9752444466576,343,9.923126,0.025000121
Low energy,2407207,157.9752444466576,344,6.923126,0.017441982
Low energy,2407207,157.9752444466576,345,5.923126,0.014922603
Low energy,2407207,157.9752444466576,346,-1.0768738,-0.0027130537
Low energy,2407207,157.9752444466576,347,-2.0768738,-0.0052324333
