distribution,category,left_keV,right_keV,base_or_matched_mass,normalizing_class_mass,density_per_keV
original,0nubb,0.0,50.0,0.0,196608.0,0.0
original,0nubb,50.0,100.0,0.0,196608.0,0.0
original,0nubb,100.0,150.0,0.0,196608.0,0.0
original,0nubb,150.0,200.0,0.0,196608.0,0.0
original,0nubb,200.0,250.0,0.0,196608.0,0.0
original,0nubb,250.0,300.0,0.0,196608.0,0.0
original,0nubb,300.0,350.0,5.0,196608.0,5.086263020833333e-07
original,0nubb,350.0,400.0,11.0,196608.0,1.1189778645833333e-06
original,0nubb,400.0,450.0,12.0,196608.0,1.220703125e-06
original,0nubb,450.0,500.0,20.0,196608.0,2.0345052083333333e-06
original,0nubb,500.0,550.0,26.0,196608.0,2.644856770833333e-06
original,0nubb,550.0,600.0,27.0,196608.0,2.74658203125e-06
original,0nubb,600.0,650.0,40.0,196608.0,4.069010416666667e-06
original,0nubb,650.0,700.0,38.0,196608.0,3.865559895833333e-06
original,0nubb,700.0,750.0,43.0,196608.0,4.374186197916667e-06
original,0nubb,750.0,800.0,50.0,196608.0,5.086263020833334e-06
original,0nubb,800.0,850.0,50.0,196608.0,5.086263020833334e-06
original,0nubb,850.0,900.0,76.0,196608.0,7.731119791666666e-06
original,0nubb,900.0,950.0,76.0,196608.0,7.731119791666666e-06
original,0nubb,950.0,1000.0,100.0,196608.0,1.0172526041666668e-05
original,0nubb,1000.0,1050.0,103.0,196608.0,1.0477701822916668e-05
original,0nubb,1050.0,1100.0,120.0,196608.0,1.220703125e-05
original,0nubb,1100.0,1150.0,131.0,196608.0,1.3326009114583333e-05
original,0nubb,1150.0,1200.0,131.0,196608.0,1.3326009114583333e-05
original,0nubb,1200.0,1250.0,183.0,196608.0,1.861572265625e-05
original,0nubb,1250.0,1300.0,184.0,196608.0,1.871744791666667e-05
original,0nubb,1300.0,1350.0,220.0,196608.0,2.2379557291666665e-05
original,0nubb,1350.0,1400.0,197.0,196608.0,2.0039876302083335e-05
original,0nubb,1400.0,1450.0,223.0,196608.0,2.2684733072916665e-05
original,0nubb,1450.0,1500.0,258.0,196608.0,2.62451171875e-05
original,0nubb,1500.0,1550.0,301.0,196608.0,3.061930338541666e-05
original,0nubb,1550.0,1600.0,321.0,196608.0,3.265380859375e-05
original,0nubb,1600.0,1650.0,348.0,196608.0,3.5400390625e-05
original,0nubb,1650.0,1700.0,384.0,196608.0,3.90625e-05
original,0nubb,1700.0,1750.0,463.0,196608.0,4.709879557291667e-05
original,0nubb,1750.0,1800.0,477.0,196608.0,4.852294921875e-05
original,0nubb,1800.0,1850.0,538.0,196608.0,5.472819010416667e-05
original,0nubb,1850.0,1900.0,582.0,196608.0,5.92041015625e-05
original,0nubb,1900.0,1950.0,662.0,196608.0,6.734212239583333e-05
original,0nubb,1950.0,2000.0,743.0,196608.0,7.558186848958333e-05
original,0nubb,2000.0,2050.0,934.0,196608.0,9.501139322916667e-05
original,0nubb,2050.0,2100.0,1075.0,196608.0,0.00010935465494791666
original,0nubb,2100.0,2150.0,1272.0,196608.0,0.00012939453125
original,0nubb,2150.0,2200.0,1457.0,196608.0,0.00014821370442708333
original,0nubb,2200.0,2250.0,1833.0,196608.0,0.00018646240234375
original,0nubb,2250.0,2300.0,2377.0,196608.0,0.00024180094401041668
original,0nubb,2300.0,2350.0,2974.0,196608.0,0.0003025309244791667
original,0nubb,2350.0,2400.0,3919.0,196608.0,0.00039866129557291664
original,0nubb,2400.0,2450.0,4914.0,196608.0,0.0004998779296875
original,0nubb,2450.0,2500.0,6310.0,196608.0,0.0006418863932291667
original,0nubb,2500.0,2550.0,8162.0,196608.0,0.0008302815755208332
original,0nubb,2550.0,2600.0,10725.0,196608.0,0.00109100341796875
original,0nubb,2600.0,2650.0,14051.0,196608.0,0.0014293416341145835
original,0nubb,2650.0,2700.0,18200.0,196608.0,0.0018513997395833335
original,0nubb,2700.0,2750.0,23013.0,196608.0,0.00234100341796875
original,0nubb,2750.0,2800.0,26924.0,196608.0,0.002738850911458333
original,0nubb,2800.0,2850.0,27118.0,196608.0,0.002758585611979167
original,0nubb,2850.0,2900.0,19979.0,196608.0,0.0020323689778645833
original,0nubb,2900.0,2950.0,10222.0,196608.0,0.0010398356119791668
original,0nubb,2950.0,3000.0,3238.0,196608.0,0.00032938639322916666
original,0nubb,3000.0,3050.0,643.0,196608.0,6.540934244791667e-05
original,0nubb,3050.0,3100.0,106.0,196608.0,1.0782877604166667e-05
original,0nubb,3100.0,3150.0,19.0,196608.0,1.9327799479166664e-06
original,0nubb,3150.0,3200.0,0.0,196608.0,0.0
original,0nubb,3200.0,3250.0,0.0,196608.0,0.0
original,0nubb,3250.0,3300.0,0.0,196608.0,0.0
original,Bi214,0.0,50.0,0.0,262144.0,0.0
original,Bi214,50.0,100.0,0.0,262144.0,0.0
original,Bi214,100.0,150.0,0.0,262144.0,0.0
original,Bi214,150.0,200.0,0.0,262144.0,0.0
original,Bi214,200.0,250.0,0.0,262144.0,0.0
original,Bi214,250.0,300.0,0.0,262144.0,0.0
original,Bi214,300.0,350.0,1393.0,262144.0,0.0001062774658203125
original,Bi214,350.0,400.0,1842.0,262144.0,0.000140533447265625
original,Bi214,400.0,450.0,2394.0,262144.0,0.000182647705078125
