distribution,fpr,tpr,threshold_keV
original,0.0,0.0,inf
original,0.0,5.086263020833333e-06,3147.75
original,0.0,1.0172526041666666e-05,3127.6875
original,0.0,1.52587890625e-05,3120.5
original,0.0,2.0345052083333332e-05,3118.5
original,0.0,2.5431315104166668e-05,3118.25
original,0.0,3.0517578125e-05,3114.65625
original,0.0,3.5603841145833336e-05,3114.25
original,0.0,4.0690104166666664e-05,3114.0
original,0.0,4.57763671875e-05,3113.25
original,0.0,5.0862630208333336e-05,3109.75
original,3.814697265625e-06,5.0862630208333336e-05,3108.75
original,3.814697265625e-06,6.103515625e-05,3106.75
original,3.814697265625e-06,6.612141927083333e-05,3106.125
original,3.814697265625e-06,7.120768229166667e-05,3105.375
original,3.814697265625e-06,7.62939453125e-05,3105.25
original,3.814697265625e-06,8.138020833333333e-05,3105.0
original,3.814697265625e-06,8.646647135416667e-05,3101.5
original,3.814697265625e-06,9.1552734375e-05,3101.25
original,3.814697265625e-06,9.663899739583333e-05,3101.0
original,7.62939453125e-06,9.663899739583333e-05,3098.0
original,7.62939453125e-06,0.00010172526041666667,3096.25
original,7.62939453125e-06,0.0001068115234375,3093.5
original,7.62939453125e-06,0.00011189778645833333,3093.375
original,7.62939453125e-06,0.00011698404947916667,3092.53125
original,7.62939453125e-06,0.0001220703125,3091.0
original,7.62939453125e-06,0.00012715657552083334,3089.5
original,7.62939453125e-06,0.00013224283854166666,3086.5
original,7.62939453125e-06,0.00014241536458333334,3086.125
original,7.62939453125e-06,0.00014750162760416666,3084.625
original,7.62939453125e-06,0.000152587890625,3083.5
original,7.62939453125e-06,0.00015767415364583334,3082.5
original,7.62939453125e-06,0.0001678466796875,3080.75
original,7.62939453125e-06,0.00017293294270833334,3080.25
original,1.1444091796875e-05,0.00017293294270833334,3078.0
original,1.1444091796875e-05,0.00017801920572916666,3077.25
original,1.1444091796875e-05,0.00018310546875,3076.5
original,1.1444091796875e-05,0.00018819173177083334,3076.375
original,1.1444091796875e-05,0.00019327799479166666,3076.25
original,1.1444091796875e-05,0.0001983642578125,3076.125
original,1.52587890625e-05,0.0001983642578125,3076.0
original,1.52587890625e-05,0.00020853678385416666,3074.75
original,1.52587890625e-05,0.000213623046875,3074.5
original,1.52587890625e-05,0.00021870930989583334,3073.875
original,1.52587890625e-05,0.00022379557291666666,3073.5
original,1.9073486328125e-05,0.00022379557291666666,3073.375
original,1.9073486328125e-05,0.00023396809895833334,3073.25
original,1.9073486328125e-05,0.000244140625,3072.875
original,1.9073486328125e-05,0.0002492268880208333,3071.75
original,1.9073486328125e-05,0.0002543131510416667,3071.625
original,1.9073486328125e-05,0.0002593994140625,3071.375
original,1.9073486328125e-05,0.0002644856770833333,3071.0
original,1.9073486328125e-05,0.0002695719401041667,3070.75
original,1.9073486328125e-05,0.0002797444661458333,3070.5
original,2.288818359375e-05,0.0002797444661458333,3069.5
original,2.288818359375e-05,0.0002848307291666667,3069.25
original,2.288818359375e-05,0.0002899169921875,3068.5
original,2.288818359375e-05,0.0002950032552083333,3067.5
original,2.288818359375e-05,0.0003000895182291667,3067.25
original,2.288818359375e-05,0.0003102620442708333,3067.0
original,2.288818359375e-05,0.0003153483072916667,3066.625
original,2.288818359375e-05,0.0003204345703125,3066.5
original,2.288818359375e-05,0.0003306070963541667,3065.75
original,2.288818359375e-05,0.000335693359375,3065.0
original,2.288818359375e-05,0.0003509521484375,3064.5
original,2.288818359375e-05,0.0003560384114583333,3064.375
original,2.288818359375e-05,0.0003611246744791667,3064.25
original,2.288818359375e-05,0.0003662109375,3063.625
original,2.288818359375e-05,0.0003712972005208333,3063.125
original,2.288818359375e-05,0.0003763834635416667,3062.75
original,2.288818359375e-05,0.0003814697265625,3062.5
original,2.288818359375e-05,0.0003916422526041667,3062.25
original,2.288818359375e-05,0.000396728515625,3062.125
original,2.6702880859375e-05,0.0004018147786458333,3062.0
original,2.6702880859375e-05,0.0004069010416666667,3061.5
original,2.6702880859375e-05,0.0004119873046875,3061.25
original,3.0517578125e-05,0.0004221598307291667,3061.0
original,3.0517578125e-05,0.00042724609375,3060.5
original,3.0517578125e-05,0.0004323323567708333,3060.25
original,3.4332275390625e-05,0.0004323323567708333,3059.875
original,3.4332275390625e-05,0.0004374186197916667,3059.625
original,3.4332275390625e-05,0.0004475911458333333,3059.25
original,3.4332275390625e-05,0.000457763671875,3059.0
original,3.4332275390625e-05,0.0004628499348958333,3058.875
original,3.814697265625e-05,0.0004628499348958333,3058.75
original,3.814697265625e-05,0.0004679361979166667,3058.5625
original,3.814697265625e-05,0.0004730224609375,3058.5
original,3.814697265625e-05,0.0004781087239583333,3058.375
original,3.814697265625e-05,0.0004831949869791667,3058.125
original,3.814697265625e-05,0.00048828125,3058.0
original,3.814697265625e-05,0.0004933675130208334,3057.75
original,3.814697265625e-05,0.0004984537760416666,3057.5
original,4.1961669921875e-05,0.0004984537760416666,3057.28125
original,4.1961669921875e-05,0.0005035400390625,3056.375
original,4.1961669921875e-05,0.0005137125651041666,3056.25
original,4.1961669921875e-05,0.000518798828125,3056.09375
original,4.1961669921875e-05,0.0005238850911458334,3056.0
original,4.1961669921875e-05,0.0005289713541666666,3055.5
original,4.1961669921875e-05,0.0005340576171875,3055.4375
original,4.1961669921875e-05,0.0005391438802083334,3055.25
original,4.1961669921875e-05,0.0005442301432291666,3055.0
original,4.1961669921875e-05,0.00054931640625,3054.75
original,4.1961669921875e-05,0.0005544026692708334,3054.6875
original,4.1961669921875e-05,0.0005594889322916666,3054.1875
original,4.1961669921875e-05,0.0005645751953125,3054.0
original,4.1961669921875e-05,0.0005696614583333334,3053.75
original,4.1961669921875e-05,0.0005747477213541666,3053.5
original,4.1961669921875e-05,0.000579833984375,3052.75
original,4.1961669921875e-05,0.0005849202473958334,3052.5
original,4.1961669921875e-05,0.0005900065104166666,3052.25
original,4.1961669921875e-05,0.0005950927734375,3051.5
original,4.1961669921875e-05,0.0006001790364583334,3051.25
original,4.1961669921875e-05,0.0006052652994791666,3051.0
original,4.1961669921875e-05,0.0006103515625,3050.75
original,4.1961669921875e-05,0.0006154378255208334,3050.375
original,4.1961669921875e-05,0.0006357828776041666,3050.25
original,4.1961669921875e-05,0.0006459554036458334,3049.5
original,4.1961669921875e-05,0.0006510416666666666,3049.25
original,4.57763671875e-05,0.0006510416666666666,3049.125
original,4.57763671875e-05,0.0006612141927083334,3049.0
original,4.57763671875e-05,0.0006663004557291666,3048.375
original,4.57763671875e-05,0.00067138671875,3048.25
original,4.57763671875e-05,0.0006866455078125,3048.0
original,4.57763671875e-05,0.000701904296875,3047.25
original,4.57763671875e-05,0.0007069905598958334,3047.0
original,4.57763671875e-05,0.0007120768229166666,3046.75
original,4.57763671875e-05,0.0007171630859375,3046.25
