run_id,tokenization,position_encoding,num_tokens,feature_dim,parameter_count,rope_base,rope_time_axis_only,n_train,n_val,n_test,epochs_completed,best_epoch,best_val_rmse_scaled,test_rmse_ms,test_mae_ms,test_bias_ms,test_r2,test_median_abs_error_ms,test_rmse_ms_pileup_only,test_mae_ms_pileup_only,test_bias_ms_pileup_only,test_r2_pileup,test_rmse_ms_clean,test_mae_ms_clean,test_bias_ms_clean,test_frac_within_100ms,test_frac_within_250ms,training_seconds,minutes_per_epoch,evaluation_seconds,d_model,dim_feedforward,dropout,dt_scale,gpu_name,hostname,nhead,num_frequencies,num_layers,patch_size,seed,slurm_array_task_id,slurm_job_id,split_seed,stopped_early,task,test_ers_DEGENERATE,test_frac_res68_DEGENERATE,test_rmse_scaled,token_count,torch_version,train_weight_sum
regression__raw_patches__fourier_coordinates_seed4,raw_patches,fourier_coordinates,500,20,114561,,,7650,1350,1000,19,14,0.14911821499116787,564.2426273909593,189.43409720777615,29.14120183377033,0.9298841176355819,96.32415303796463,717.3634580773187,253.6294182367133,-71.50830057465753,0.865157299392758,357.1386655201436,127.011428041571,127.011428041571,0.528,0.895,32.614,0.0286,1.138,64,256,0.1,3000.0,NVIDIA L40S,gpu-n61.crc.pitt.edu,4,6,2,20,4,1,3642819,4,True,regression,0.0,16039.144103529878,0.18808087579698643,500,2.5.1.post303,7650.0
regression__pulse_entities__rope_base4_seed4,pulse_entities,rope,500,2,106689,4.0,False,7650,1350,1000,41,36,0.16481682045741236,584.8959514008793,177.71239114250014,36.59985978393322,0.9246571840635239,65.42538106441498,721.4540426601468,254.9521752229824,-31.280139905956535,0.8636151017671273,410.65392043164246,102.60546106029544,102.60546106029544,0.682,0.893,178.454,0.0725,1.328,64,256,0.1,3000.0,NVIDIA L40S,gpu-n64.crc.pitt.edu,4,6,2,20,4,8,3642651,4,True,regression,0.0,10268.470413861856,0.19496531713362644,500,2.5.1.post303,7650.0
regression__segment_summary__fourier_coordinates_seed3,segment_summary,fourier_coordinates,500,2,113409,,,7650,1350,1000,28,23,0.1722836360356123,547.7388710161603,189.24583329885948,-6.0103212981068515,0.9339258260904479,95.01670732589832,723.5936203343649,267.86259933308196,-128.1945093828741,0.8628049634549751,287.4396299517995,112.79994443323486,112.79994443323486,0.537,0.885,37.738,0.0225,1.219,64,256,0.1,3000.0,NVIDIA L40S,gpu-n60.crc.pitt.edu,4,6,2,20,3,4,3642867,3,True,regression,0.0,15447.12943486782,0.1825796236720534,500,2.5.1.post303,7650.0
regression__raw_patches__rope_seed4,raw_patches,rope,500,20,107841,8.0,False,7650,1350,1000,26,21,0.17065898737225335,615.3563412231806,233.05577490664888,69.45471815070574,0.9166053907411498,142.96864170950357,734.9530546307186,276.1397352461009,-55.708250060071705,0.8584636016925505,470.7761906131343,191.1615097244992,191.1615097244992,0.217,0.875,103.99,0.0667,1.263,64,256,0.1,3000.0,NVIDIA L40S,gpu-n60.crc.pitt.edu,4,6,2,20,4,2,3642820,4,True,regression,0.0,24038.4549987636,0.20511878040772685,500,2.5.1.post303,7650.0
regression__segment_summary__rope_seed1,segment_summary,rope,500,2,106689,8.0,False,7650,1350,1000,34,29,0.19292362780373679,603.8497417155247,246.73335701818183,97.74057567356593,0.9196950368362891,134.0915523469448,739.1624756605468,314.4428397046084,12.226244685103508,0.8568376680044252,433.50426612508346,180.89356418897415,180.89356418897415,0.343,0.807,141.66,0.0694,1.495,64,256,0.1,3000.0,NVIDIA L40S,gpu-n64.crc.pitt.edu,4,6,2,20,1,5,3642657,1,True,regression,0.0,24046.062996614997,0.20128324723850824,500,2.5.1.post303,7650.0
regression__raw_patches__rope_base4,raw_patches,rope,500,20,107841,4.0,False,7650,1350,1000,46,41,0.1879672179438269,578.2153600278007,202.5679595914152,20.501413452014983,0.9263684630014843,84.95838643907018,740.7375093247512,282.4870004155143,-86.50034428310674,0.8562269072149616,354.81422234503935,124.85575618652197,124.54848754159092,0.591,0.843,215.804,0.0782,1.119,64,256,0.1,3000.0,NVIDIA L40S,gpu-n58.crc.pitt.edu,4,6,2,20,,2,3641995,,True,regression,0.0,14891.91317423802,0.1927384533426002,500,2.5.1.post303,7650.0
regression__raw_patches__rope,raw_patches,rope,500,20,107841,8.0,False,7650,1350,1000,23,18,0.19059266572980763,575.8772715405707,174.72839409011442,-31.26264177025789,0.9269627363162364,52.682094275951385,748.975586239781,278.9700914599558,-96.66473774654135,0.8530111931935055,329.60190107024295,73.36516568117594,32.3334791692051,0.689,0.873,92.304,0.0669,1.24,64,256,0.1,3000.0,NVIDIA L40S,gpu-n55.crc.pitt.edu,4,6,2,20,,2,3641606,,True,regression,0.0,5018.37827790907,0.19195909051352358,500,2.5.1.post303,7650.0
regression__segment_summary__rope_base32,segment_summary,rope,500,2,106689,32.0,False,7650,1350,1000,26,21,0.1973592089862472,574.6403307154966,229.77654564905092,76.39961043609745,0.927276156390061,97.26865589618683,756.2258788626698,338.5361409106296,27.426738855957367,0.8501516338824249,308.5752166417756,124.02017392526717,124.02017392526717,0.507,0.79,102.706,0.0658,1.108,64,256,0.1,3000.0,NVIDIA L40S,gpu-n58.crc.pitt.edu,4,6,2,20,,5,3642003,,True,regression,0.0,14590.472971012832,0.19154677690516553,500,2.5.1.post303,7650.0
regression__raw_patches__rope_timeonly,raw_patches,rope,500,20,107841,8.0,True,7650,1350,1000,25,20,0.20014355416250448,555.3413678975046,238.83110368604088,45.63489783792263,0.932078906564996,143.85030992115298,757.8192747728145,309.2584477518083,-82.62026593605827,0.8495194965100822,223.2936112141648,170.34849890414074,170.34849890414074,0.203,0.843,99.627,0.0664,1.115,64,256,0.1,3000.0,NVIDIA L40S,gpu-n58.crc.pitt.edu,4,6,2,20,,2,3642004,,True,regression,0.0,23178.061402928506,0.18511378929916822,500,2.5.1.post303,7650.0
regression__raw_patches__fourier_coordinates,raw_patches,fourier_coordinates,500,20,114561,,,7650,1350,1000,14,9,0.18969706700823788,559.9991789893479,213.318580266453,6.607632110402643,0.9309347802382846,116.1038987338543,761.0317008286415,287.3464585128735,-131.94552557647822,0.848241006774539,235.29175469844088,141.33486433847415,141.33486433847415,0.341,0.857,25.557,0.0304,1.048,64,256,0.1,3000.0,NVIDIA L40S,gpu-n55.crc.pitt.edu,4,6,2,20,,1,3641605,,True,regression,0.0,20291.981910707807,0.18666639299644927,500,2.5.1.post303,7650.0
