category,left_keV,right_keV,count,n_events,density_per_keV
0nubb,0.0,50.0,0,196608,0.0
0nubb,50.0,100.0,0,196608,0.0
0nubb,100.0,150.0,0,196608,0.0
0nubb,150.0,200.0,0,196608,0.0
0nubb,200.0,250.0,0,196608,0.0
0nubb,250.0,300.0,0,196608,0.0
0nubb,300.0,350.0,5,196608,5.086263020833333e-07
0nubb,350.0,400.0,11,196608,1.1189778645833333e-06
0nubb,400.0,450.0,12,196608,1.220703125e-06
0nubb,450.0,500.0,20,196608,2.0345052083333333e-06
0nubb,500.0,550.0,26,196608,2.6448567708333334e-06
0nubb,550.0,600.0,27,196608,2.74658203125e-06
0nubb,600.0,650.0,40,196608,4.069010416666667e-06
0nubb,650.0,700.0,38,196608,3.865559895833334e-06
0nubb,700.0,750.0,43,196608,4.374186197916667e-06
0nubb,750.0,800.0,50,196608,5.086263020833333e-06
0nubb,800.0,850.0,50,196608,5.086263020833333e-06
0nubb,850.0,900.0,76,196608,7.731119791666667e-06
0nubb,900.0,950.0,76,196608,7.731119791666667e-06
0nubb,950.0,1000.0,100,196608,1.0172526041666666e-05
0nubb,1000.0,1050.0,103,196608,1.0477701822916666e-05
0nubb,1050.0,1100.0,120,196608,1.220703125e-05
0nubb,1100.0,1150.0,131,196608,1.3326009114583333e-05
0nubb,1150.0,1200.0,131,196608,1.3326009114583333e-05
0nubb,1200.0,1250.0,183,196608,1.861572265625e-05
0nubb,1250.0,1300.0,184,196608,1.8717447916666665e-05
0nubb,1300.0,1350.0,220,196608,2.2379557291666665e-05
0nubb,1350.0,1400.0,197,196608,2.0039876302083332e-05
0nubb,1400.0,1450.0,223,196608,2.2684733072916665e-05
0nubb,1450.0,1500.0,258,196608,2.62451171875e-05
0nubb,1500.0,1550.0,301,196608,3.061930338541667e-05
0nubb,1550.0,1600.0,321,196608,3.265380859375e-05
0nubb,1600.0,1650.0,348,196608,3.5400390625e-05
0nubb,1650.0,1700.0,384,196608,3.90625e-05
0nubb,1700.0,1750.0,463,196608,4.709879557291666e-05
0nubb,1750.0,1800.0,477,196608,4.852294921875e-05
0nubb,1800.0,1850.0,538,196608,5.472819010416666e-05
0nubb,1850.0,1900.0,582,196608,5.92041015625e-05
0nubb,1900.0,1950.0,662,196608,6.734212239583333e-05
0nubb,1950.0,2000.0,743,196608,7.558186848958333e-05
0nubb,2000.0,2050.0,934,196608,9.501139322916667e-05
0nubb,2050.0,2100.0,1075,196608,0.00010935465494791667
0nubb,2100.0,2150.0,1272,196608,0.00012939453125
0nubb,2150.0,2200.0,1457,196608,0.00014821370442708333
0nubb,2200.0,2250.0,1833,196608,0.00018646240234375
0nubb,2250.0,2300.0,2377,196608,0.00024180094401041665
0nubb,2300.0,2350.0,2974,196608,0.0003025309244791667
0nubb,2350.0,2400.0,3919,196608,0.00039866129557291664
0nubb,2400.0,2450.0,4914,196608,0.0004998779296875
0nubb,2450.0,2500.0,6310,196608,0.0006418863932291667
0nubb,2500.0,2550.0,8162,196608,0.0008302815755208333
0nubb,2550.0,2600.0,10725,196608,0.00109100341796875
0nubb,2600.0,2650.0,14051,196608,0.0014293416341145833
0nubb,2650.0,2700.0,18200,196608,0.0018513997395833333
0nubb,2700.0,2750.0,23013,196608,0.00234100341796875
0nubb,2750.0,2800.0,26924,196608,0.0027388509114583334
0nubb,2800.0,2850.0,27118,196608,0.0027585856119791666
0nubb,2850.0,2900.0,19979,196608,0.0020323689778645833
0nubb,2900.0,2950.0,10222,196608,0.0010398356119791666
0nubb,2950.0,3000.0,3238,196608,0.00032938639322916666
0nubb,3000.0,3050.0,643,196608,6.540934244791667e-05
0nubb,3050.0,3100.0,106,196608,1.0782877604166667e-05
0nubb,3100.0,3150.0,19,196608,1.932779947916667e-06
0nubb,3150.0,3200.0,0,196608,0.0
0nubb,3200.0,3250.0,0,196608,0.0
0nubb,3250.0,3300.0,0,196608,0.0
Bi214,0.0,50.0,0,262144,0.0
Bi214,50.0,100.0,0,262144,0.0
Bi214,100.0,150.0,0,262144,0.0
Bi214,150.0,200.0,0,262144,0.0
Bi214,200.0,250.0,0,262144,0.0
Bi214,250.0,300.0,0,262144,0.0
Bi214,300.0,350.0,1393,262144,0.0001062774658203125
Bi214,350.0,400.0,1842,262144,0.000140533447265625
Bi214,400.0,450.0,2394,262144,0.000182647705078125
Bi214,450.0,500.0,3032,262144,0.0002313232421875
Bi214,500.0,550.0,3759,262144,0.0002867889404296875
Bi214,550.0,600.0,4403,262144,0.0003359222412109375
Bi214,600.0,650.0,5008,262144,0.000382080078125
Bi214,650.0,700.0,5579,262144,0.0004256439208984375
Bi214,700.0,750.0,5801,262144,0.0004425811767578125
Bi214,750.0,800.0,6117,262144,0.0004666900634765625
Bi214,800.0,850.0,6240,262144,0.00047607421875
Bi214,850.0,900.0,6410,262144,0.000489044189453125
Bi214,900.0,950.0,6483,262144,0.0004946136474609375
Bi214,950.0,1000.0,6681,262144,0.0005097198486328125
Bi214,1000.0,1050.0,6720,262144,0.0005126953125
Bi214,1050.0,1100.0,6730,262144,0.000513458251953125
Bi214,1100.0,1150.0,6827,262144,0.0005208587646484375
Bi214,1150.0,1200.0,6857,262144,0.0005231475830078124
Bi214,1200.0,1250.0,7063,262144,0.0005388641357421875
Bi214,1250.0,1300.0,7157,262144,0.0005460357666015624
Bi214,1300.0,1350.0,7490,262144,0.000571441650390625
Bi214,1350.0,1400.0,7912,262144,0.0006036376953125
Bi214,1400.0,1450.0,8191,262144,0.0006249237060546875
Bi214,1450.0,1500.0,8255,262144,0.0006298065185546875
Bi214,1500.0,1550.0,8213,262144,0.0006266021728515625
Bi214,1550.0,1600.0,8168,262144,0.0006231689453125
Bi214,1600.0,1650.0,7880,262144,0.0006011962890625
Bi214,1650.0,1700.0,8115,262144,0.0006191253662109375
Bi214,1700.0,1750.0,7878,262144,0.000601043701171875
Bi214,1750.0,1800.0,7610,262144,0.000580596923828125
Bi214,1800.0,1850.0,7406,262144,0.000565032958984375
Bi214,1850.0,1900.0,7263,262144,0.0005541229248046875
Bi214,1900.0,1950.0,6637,262144,0.0005063629150390625
Bi214,1950.0,2000.0,6383,262144,0.0004869842529296875
Bi214,2000.0,2050.0,6104,262144,0.0004656982421875
Bi214,2050.0,2100.0,5488,262144,0.000418701171875
Bi214,2100.0,2150.0,5150,262144,0.000392913818359375
Bi214,2150.0,2200.0,4712,262144,0.0003594970703125
Bi214,2200.0,2250.0,4391,262144,0.0003350067138671875
Bi214,2250.0,2300.0,3899,262144,0.0002974700927734375
Bi214,2300.0,2350.0,3401,262144,0.0002594757080078125
Bi214,2350.0,2400.0,2996,262144,0.00022857666015625
Bi214,2400.0,2450.0,2662,262144,0.000203094482421875
Bi214,2450.0,2500.0,2181,262144,0.0001663970947265625
Bi214,2500.0,2550.0,1862,262144,0.000142059326171875
