threshold_keV,signal_efficiency,background_rejection,balanced_accuracy
0.0,1.0,0.0,0.5
10.0,1.0,0.0,0.5
20.0,1.0,0.0,0.5
30.0,1.0,0.0,0.5
40.0,1.0,0.0,0.5
50.0,1.0,0.0,0.5
60.0,1.0,0.0,0.5
70.0,1.0,0.0,0.5
80.0,1.0,0.0,0.5
90.0,1.0,0.0,0.5
100.0,1.0,0.0,0.5
110.0,1.0,0.0,0.5
120.0,1.0,0.0,0.5
130.0,1.0,0.0,0.5
140.0,1.0,0.0,0.5
150.0,1.0,0.0,0.5
160.0,1.0,0.0,0.5
170.0,1.0,0.0,0.5
180.0,1.0,0.0,0.5
190.0,1.0,0.0,0.5
200.0,1.0,0.0,0.5
210.0,1.0,0.0,0.5
220.0,1.0,0.0,0.5
230.0,1.0,0.0,0.5
240.0,1.0,0.0,0.5
250.0,1.0,0.0,0.5
260.0,1.0,0.0,0.5
270.0,1.0,0.0,0.5
280.0,1.0,0.0,0.5
290.0,1.0,0.0,0.5
300.0,1.0,0.0,0.5
310.0,1.0,0.000972747802734375,0.5004863739013672
320.0,0.9999949137369791,0.001827239990234375,0.5009110768636067
330.0,0.9999898274739584,0.002986907958984375,0.5014883677164714
340.0,0.9999796549479166,0.0040283203125,0.5020039876302083
350.0,0.9999745686848959,0.005313873291015625,0.5026442209879558
360.0,0.9999643961588541,0.006626129150390625,0.5032952626546223
370.0,0.9999593098958334,0.007946014404296875,0.5039526621500652
380.0,0.9999440511067709,0.009307861328125,0.504625956217448
390.0,0.99993896484375,0.010669708251953125,0.5053043365478516
400.0,0.9999186197916666,0.012340545654296875,0.5061295827229817
410.0,0.999908447265625,0.013996124267578125,0.5069522857666016
420.0,0.9998982747395834,0.015750885009765625,0.5078245798746746
430.0,0.9998982747395834,0.017551422119140625,0.508724848429362
440.0,0.9998931884765625,0.019496917724609375,0.5096950531005859
450.0,0.9998575846354166,0.021472930908203125,0.5106652577718098
460.0,0.9998423258463541,0.0235595703125,0.511700948079427
470.0,0.99981689453125,0.025600433349609375,0.5127086639404297
480.0,0.9998118082682291,0.028106689453125,0.513959248860677
490.0,0.9997762044270834,0.030406951904296875,0.5150915781656902
500.0,0.999755859375,0.033039093017578125,0.5163974761962891
510.0,0.999725341796875,0.035541534423828125,0.5176334381103516
520.0,0.9997151692708334,0.0383453369140625,0.519030253092448
530.0,0.9996693929036459,0.04134368896484375,0.5205065409342449
540.0,0.9996490478515625,0.04427337646484375,0.5219612121582031
550.0,0.9996236165364584,0.0473785400390625,0.5235010782877605
560.0,0.9996083577473959,0.050479888916015625,0.5250441233317058
570.0,0.9995778401692709,0.053638458251953125,0.526608149210612
580.0,0.9995320638020834,0.057010650634765625,0.5282713572184246
590.0,0.9995066324869791,0.06063079833984375,0.5300687154134114
600.0,0.9994862874348959,0.06417465209960938,0.5318304697672527
610.0,0.9994455973307291,0.06772613525390625,0.5335858662923176
620.0,0.9993998209635416,0.07155990600585938,0.5354798634847004
630.0,0.9993743896484375,0.07528305053710938,0.5373287200927734
640.0,0.9993387858072916,0.079193115234375,0.5392659505208333
650.0,0.9992828369140625,0.08327865600585938,0.5412807464599609
660.0,0.9992421468098959,0.08743667602539062,0.5433394114176433
670.0,0.9992116292317709,0.09173202514648438,0.5454718271891277
680.0,0.9991912841796875,0.09601593017578125,0.5476036071777344
690.0,0.9991455078125,0.100372314453125,0.5497589111328125
700.0,0.9990895589192709,0.10456085205078125,0.5518252054850261
710.0,0.9990692138671875,0.1087646484375,0.5539169311523438
720.0,0.9990386962890625,0.11322784423828125,0.5561332702636719
730.0,0.9989827473958334,0.1176300048828125,0.558306376139323
740.0,0.9989267985026041,0.12200927734375,0.560468037923177
750.0,0.998870849609375,0.12668991088867188,0.5627803802490234
760.0,0.9988149007161459,0.13134765625,0.565081278483073
770.0,0.998748779296875,0.13599777221679688,0.5673732757568359
780.0,0.9987080891927084,0.14073944091796875,0.5697237650553386
790.0,0.9986724853515625,0.14533233642578125,0.5720024108886719
800.0,0.9986165364583334,0.1500244140625,0.5743204752604167
810.0,0.9985707600911459,0.15452194213867188,0.5765463511149089
820.0,0.9985300699869791,0.15932083129882812,0.5789254506429036
830.0,0.99847412109375,0.16411590576171875,0.5812950134277344
840.0,0.9984283447265625,0.16888427734375,0.5836563110351562
850.0,0.9983622233072916,0.173828125,0.5860951741536458
860.0,0.9982961018880209,0.17866897583007812,0.5884825388590496
870.0,0.9982198079427084,0.18358230590820312,0.5909010569254558
880.0,0.9981486002604166,0.18865203857421875,0.5934003194173176
890.0,0.9980723063151041,0.193511962890625,0.5957921346028645
900.0,0.9979756673177084,0.19828033447265625,0.5981280008951824
910.0,0.997894287109375,0.20321273803710938,0.6005535125732422
920.0,0.9978078206380209,0.208251953125,0.6030298868815105
930.0,0.9977315266927084,0.212982177734375,0.6053568522135417
940.0,0.9976348876953125,0.21802139282226562,0.6078281402587891
950.0,0.997589111328125,0.22301101684570312,0.6103000640869141
960.0,0.9974721272786459,0.22820281982421875,0.6128374735514324
970.0,0.9973907470703125,0.23340988159179688,0.6154003143310547
980.0,0.9972890218098959,0.23844528198242188,0.6178671518961589
990.0,0.9971771240234375,0.24350738525390625,0.6203422546386719
1000.0,0.9970804850260416,0.24849700927734375,0.6227887471516926
1010.0,0.9969838460286459,0.2536659240722656,0.6253248850504558
1020.0,0.99688720703125,0.2589073181152344,0.6278972625732422
1030.0,0.99676513671875,0.2639312744140625,0.6303482055664062
1040.0,0.99664306640625,0.26894378662109375,0.6327934265136719
1050.0,0.9965565999348959,0.27413177490234375,0.6353441874186199
1060.0,0.9964701334635416,0.2793464660644531,0.6379082997639973
1070.0,0.9963175455729166,0.2847099304199219,0.6405137379964192
1080.0,0.9962005615234375,0.28980255126953125,0.6430015563964844
1090.0,0.9960784912109375,0.2947196960449219,0.6453990936279297
1100.0,0.9959462483723959,0.2998046875,0.647875467936198
1110.0,0.9958343505859375,0.3048973083496094,0.6503658294677734
1120.0,0.9957122802734375,0.31008148193359375,0.6528968811035156
1130.0,0.99554443359375,0.31526947021484375,0.6554069519042969
1140.0,0.995391845703125,0.320587158203125,0.657989501953125
1150.0,0.9952799479166666,0.3258476257324219,0.6605637868245442
1160.0,0.9951273600260416,0.3310203552246094,0.6630738576253254
1170.0,0.9949951171875,0.3362922668457031,0.6656436920166016
1180.0,0.9948883056640625,0.3415565490722656,0.6682224273681641
1190.0,0.9947102864583334,0.3467063903808594,0.6707083384195964
1200.0,0.9946136474609375,0.3520050048828125,0.673309326171875
1210.0,0.994476318359375,0.3574981689453125,0.6759872436523438
1220.0,0.9943135579427084,0.3627471923828125,0.6785303751627605
1230.0,0.9940897623697916,0.3681068420410156,0.6810983022054036
1240.0,0.9939219156901041,0.37371826171875,0.683820088704427
1250.0,0.993682861328125,0.3789482116699219,0.6863155364990234
1260.0,0.9935099283854166,0.38434600830078125,0.6889279683430989
1270.0,0.9933115641276041,0.3895912170410156,0.6914513905843098
1280.0,0.9931131998697916,0.3949737548828125,0.694043477376302
1290.0,0.992950439453125,0.4005928039550781,0.6967716217041016
1300.0,0.9927469889322916,0.40625,0.6994984944661458
1310.0,0.9925282796223959,0.41178131103515625,0.7021547953287761
1320.0,0.9922943115234375,0.41741943359375,0.7048568725585938
1330.0,0.9920705159505209,0.4230499267578125,0.7075602213541667
1340.0,0.9918874104817709,0.42893218994140625,0.7104098002115886
1350.0,0.9916280110677084,0.43482208251953125,0.7132250467936199
1360.0,0.9914703369140625,0.4407310485839844,0.7161006927490234
1370.0,0.9912618001302084,0.4465827941894531,0.7189222971598308
1380.0,0.9910888671875,0.45255279541015625,0.7218208312988281
1390.0,0.9908599853515625,0.4587211608886719,0.7247905731201172
1400.0,0.9906260172526041,0.46500396728515625,0.7278149922688801
1410.0,0.9903818766276041,0.47115325927734375,0.7307675679524739
1420.0,0.9901682535807291,0.47718048095703125,0.7336743672688801
1430.0,0.9900258382161459,0.4835166931152344,0.7367712656656902
1440.0,0.9897308349609375,0.4896697998046875,0.7397003173828125
1450.0,0.9894917805989584,0.4962501525878906,0.7428709665934246
1460.0,0.9891916910807291,0.5028190612792969,0.746005376180013
1470.0,0.9889424641927084,0.5090827941894531,0.7490126291910808
1480.0,0.9886627197265625,0.5152511596679688,0.7519569396972656
1490.0,0.9884490966796875,0.5215110778808594,0.7549800872802734
1500.0,0.9881795247395834,0.527740478515625,0.7579600016276042
1510.0,0.9878489176432291,0.5341262817382812,0.7609875996907551
1520.0,0.9875284830729166,0.5404891967773438,0.7640088399251301
1530.0,0.9872538248697916,0.5467338562011719,0.7669938405354817
1540.0,0.9869283040364584,0.5528755187988281,0.7699019114176433
1550.0,0.9866485595703125,0.5590705871582031,0.7728595733642578
1560.0,0.9863332112630209,0.5653343200683594,0.7758337656656902
1570.0,0.9860127766927084,0.5716819763183594,0.7788473765055339
1580.0,0.98577880859375,0.5779190063476562,0.7818489074707031
1590.0,0.9854176839192709,0.5838584899902344,0.7846380869547527
1600.0,0.985015869140625,0.5902290344238281,0.7876224517822266
1610.0,0.984649658203125,0.5963249206542969,0.7904872894287109
1620.0,0.9842681884765625,0.6023902893066406,0.7933292388916016
1630.0,0.9838968912760416,0.6083564758300781,0.7961266835530598
1640.0,0.9835968017578125,0.6142578125,0.7989273071289062
1650.0,0.983245849609375,0.6202888488769531,0.8017673492431641
1660.0,0.9828592936197916,0.6264686584472656,0.8046639760335286
1670.0,0.9825032552083334,0.6325187683105469,0.8075110117594402
1680.0,0.9821421305338541,0.6385574340820312,0.8103497823079426
1690.0,0.9817301432291666,0.6448593139648438,0.8132947285970051
1700.0,0.981292724609375,0.6512451171875,0.8162689208984375
1710.0,0.9808349609375,0.6574249267578125,0.8191299438476562
1720.0,0.9803873697916666,0.6633110046386719,0.8218491872151692
1730.0,0.9799550374348959,0.6694183349609375,0.8246866861979167
1740.0,0.979400634765625,0.6755180358886719,0.8274593353271484
1750.0,0.9789377848307291,0.6812973022460938,0.8301175435384114
1760.0,0.9784901936848959,0.6872978210449219,0.8328940073649089
1770.0,0.9779510498046875,0.6930923461914062,0.8355216979980469
1780.0,0.9775187174479166,0.6988868713378906,0.8382027943929036
1790.0,0.9769643147786459,0.7045707702636719,0.8407675425211589
1800.0,0.9765116373697916,0.7103271484375,0.8434193929036458
1810.0,0.9759267171223959,0.7159423828125,0.845934549967448
1820.0,0.975433349609375,0.7218017578125,0.8486175537109375
1830.0,0.9748382568359375,0.727294921875,0.8510665893554688
1840.0,0.9743092854817709,0.7330741882324219,0.8536917368570964
1850.0,0.9737752278645834,0.7385787963867188,0.8561770121256511
1860.0,0.9731801350911459,0.7442817687988281,0.858730951944987
1870.0,0.9726460774739584,0.7498245239257812,0.8612353006998699
1880.0,0.9720713297526041,0.7551956176757812,0.8636334737141926
1890.0,0.9713795979817709,0.7608375549316406,0.8661085764567058
1900.0,0.9708150227864584,0.7662849426269531,0.8685499827067058
1910.0,0.9701995849609375,0.7712020874023438,0.8707008361816406
1920.0,0.9695587158203125,0.7763519287109375,0.872955322265625
1930.0,0.9688669840494791,0.7816658020019531,0.8752663930257161
1940.0,0.9681549072265625,0.7866859436035156,0.8774204254150391
1950.0,0.9674479166666666,0.7916030883789062,0.8795255025227864
1960.0,0.9667612711588541,0.7966346740722656,0.8816979726155598
1970.0,0.9660797119140625,0.8015823364257812,0.8838310241699219
1980.0,0.9652303059895834,0.8064765930175781,0.8858534495035808
1990.0,0.9645029703776041,0.8111724853515625,0.8878377278645833
2000.0,0.9636688232421875,0.8159523010253906,0.8898105621337891
2010.0,0.9628753662109375,0.8208961486816406,0.8918857574462891
2020.0,0.9619140625,0.8255729675292969,0.8937435150146484
2030.0,0.9609629313151041,0.8303070068359375,0.8956349690755208
2040.0,0.9598897298177084,0.8348846435546875,0.897387186686198
2050.0,0.9589182535807291,0.8392372131347656,0.8990777333577473
2060.0,0.9579060872395834,0.8435440063476562,0.9007250467936199
2070.0,0.9567921956380209,0.8477897644042969,0.9022909800211589
2080.0,0.9557444254557291,0.8521461486816406,0.9039452870686848
2090.0,0.9545796712239584,0.8562088012695312,0.9053942362467449
2100.0,0.9534505208333334,0.8601722717285156,0.9068113962809246
2110.0,0.9522603352864584,0.8643341064453125,0.9082972208658855
2120.0,0.9510396321614584,0.8681640625,0.9096018473307292
2130.0,0.94964599609375,0.8720855712890625,0.9108657836914062
2140.0,0.9482574462890625,0.8759536743164062,0.9121055603027344
2150.0,0.9469807942708334,0.8798179626464844,0.9133993784586589
2160.0,0.945709228515625,0.8835334777832031,0.9146213531494141
2170.0,0.9442850748697916,0.8871307373046875,0.9157079060872395
2180.0,0.9427693684895834,0.8908309936523438,0.9168001810709636
2190.0,0.9411824544270834,0.8942642211914062,0.9177233378092449
2200.0,0.9395701090494791,0.8977928161621094,0.9186814626057942
2210.0,0.937896728515625,0.9012947082519531,0.9195957183837891
2220.0,0.9359792073567709,0.9046707153320312,0.9203249613444011
2230.0,0.9341634114583334,0.9079666137695312,0.9210650126139324
2240.0,0.9321492513020834,0.9113044738769531,0.9217268625895183
2250.0,0.9302469889322916,0.9145431518554688,0.9223950703938801
2260.0,0.9280751546223959,0.9176597595214844,0.9228674570719402
2270.0,0.9258219401041666,0.9206771850585938,0.9232495625813801
2280.0,0.9233347574869791,0.9237709045410156,0.9235528310139973
2290.0,0.920806884765625,0.9266510009765625,0.9237289428710938
2300.0,0.9181569417317709,0.9294166564941406,0.9237867991129558
2310.0,0.9155476888020834,0.9320869445800781,0.9238173166910808
2320.0,0.9125823974609375,0.9348182678222656,0.9237003326416016
2330.0,0.9096628824869791,0.9374732971191406,0.9235680898030598
2340.0,0.9065093994140625,0.9399261474609375,0.9232177734375
2350.0,0.9030303955078125,0.9423904418945312,0.9227104187011719
2360.0,0.8994140625,0.94464111328125,0.922027587890625
2370.0,0.8955841064453125,0.9471893310546875,0.92138671875
2380.0,0.891510009765625,0.9494895935058594,0.9204998016357422
2390.0,0.8873748779296875,0.9517898559570312,0.9195823669433594
2400.0,0.8830973307291666,0.9538192749023438,0.9184583028157551
