category,energy_center_keV,median_radius_mm,n_events
Bi214,50.0,,0
Bi214,150.0,,0
Bi214,250.0,,0
Bi214,350.0,277.4994404846008,3235
Bi214,450.0,281.14425588454696,5426
Bi214,550.0,280.54735929078515,8162
Bi214,650.0,280.8630104250113,10587
Bi214,750.0,280.88986202009903,11918
Bi214,850.0,283.4108326257598,12650
Bi214,950.0,284.53376692669997,13164
Bi214,1050.0,286.61083000525366,13450
Bi214,1150.0,289.3636179688468,13684
Bi214,1250.0,290.875917518421,14220
Bi214,1350.0,291.48745589395674,15402
Bi214,1450.0,292.445739863198,16446
Bi214,1550.0,292.7889302646992,16381
Bi214,1650.0,293.9789086696587,15995
Bi214,1750.0,294.3293885674706,15488
Bi214,1850.0,294.147204856684,14669
Bi214,1950.0,294.1776105935266,13020
Bi214,2050.0,295.1220542461655,11592
Bi214,2150.0,294.85417795625835,9862
Bi214,2250.0,295.48561922071747,8290
Bi214,2350.0,295.98387141645384,6397
Bi214,2450.0,294.3907652250549,4843
Bi214,2550.0,291.8884918218905,3337
Bi214,2650.0,289.0414332556912,2109
Bi214,2750.0,289.04195980889165,1127
Bi214,2850.0,276.39529841070777,490
Bi214,2950.0,265.2435130579986,160
Bi214,3050.0,259.9281029068383,39
Bi214,3150.0,,1
0nubb,50.0,,0
0nubb,150.0,,0
0nubb,250.0,,0
0nubb,350.0,,16
0nubb,450.0,357.0198097039182,32
0nubb,550.0,337.9779846368882,53
0nubb,650.0,323.55794681272266,78
0nubb,750.0,327.1248325849782,93
0nubb,850.0,331.15506952123314,126
0nubb,950.0,340.7115058574152,176
0nubb,1050.0,331.21551868991776,223
0nubb,1150.0,348.2646285132081,262
0nubb,1250.0,348.06519610603306,367
0nubb,1350.0,341.80840700866406,417
0nubb,1450.0,323.30992818727555,481
0nubb,1550.0,334.5165042193794,622
0nubb,1650.0,329.8101832659248,732
0nubb,1750.0,333.56718623560306,940
0nubb,1850.0,333.87388652809113,1120
0nubb,1950.0,335.72660269536226,1405
0nubb,2050.0,331.61393033902544,2009
0nubb,2150.0,333.5330857994701,2729
0nubb,2250.0,335.05819369773224,4210
0nubb,2350.0,338.17826314596977,6893
0nubb,2450.0,336.0386999652949,11224
0nubb,2550.0,336.32694639120393,18887
0nubb,2650.0,330.4936349229882,32251
0nubb,2750.0,317.1786194907372,49937
0nubb,2850.0,297.98876190415643,47097
0nubb,2950.0,282.3520538101716,13460
0nubb,3050.0,267.31188208661337,749
0nubb,3150.0,,19
