dataset,model_key,label,input_n,original_finite_n,energy_population_n,range_excluded_n,below_range_n,above_range_n,support_excluded_after_range_n,sparse_excluded_after_support_n,matched_n,coverage_original_finite,matched_ESS
EXO-200,mvcnn,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,mvcnn,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
EXO-200,gine,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,gine,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
EXO-200,bigru,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,bigru,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
EXO-200,mamba,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,mamba,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
EXO-200,entity_mlp,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,entity_mlp,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
EXO-200,entity_fourier,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,entity_fourier,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
EXO-200,region_mlp,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,region_mlp,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
EXO-200,region_fourier,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,region_fourier,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
EXO-200,summary_mlp,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,summary_mlp,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
EXO-200,summary_fourier,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,summary_fourier,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
EXO-200,region_rope,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,region_rope,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
EXO-200,summary_rope,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,summary_rope,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
EXO-200,entity_rope,0,74321,74321,72898,1423,0,1423,2932,0,69966,0.9414028336540143,61626.880359525014
EXO-200,entity_rope,1,66062,66062,66059,3,0,3,3587,0,62472,0.9456571099875875,51923.64134977649
MJD,mvcnn,0,241749,241749,241683,66,0,66,7378,1481,232824,0.9630815432535398,213946.76408550647
MJD,mvcnn,1,148251,148251,148250,1,0,1,1746,121,146383,0.9873997477251418,141205.0994128583
MJD,gine,0,241749,241749,241683,66,0,66,7378,1481,232824,0.9630815432535398,213946.76408550647
MJD,gine,1,148251,148251,148250,1,0,1,1746,121,146383,0.9873997477251418,141205.0994128583
MJD,bigru,0,241749,241749,241683,66,0,66,7378,1481,232824,0.9630815432535398,213946.76408550647
MJD,bigru,1,148251,148251,148250,1,0,1,1746,121,146383,0.9873997477251418,141205.0994128583
MJD,mamba,0,241749,241749,241683,66,0,66,7378,1481,232824,0.9630815432535398,213946.76408550647
MJD,mamba,1,148251,148251,148250,1,0,1,1746,121,146383,0.9873997477251418,141205.0994128583
MJD,entity_mlp,0,241749,241749,241683,66,0,66,7378,1481,232824,0.9630815432535398,213946.76408550647
MJD,entity_mlp,1,148251,148251,148250,1,0,1,1746,121,146383,0.9873997477251418,141205.0994128583
MJD,entity_fourier,0,241749,241749,241683,66,0,66,7378,1481,232824,0.9630815432535398,213946.76408550647
MJD,entity_fourier,1,148251,148251,148250,1,0,1,1746,121,146383,0.9873997477251418,141205.0994128583
MJD,region_mlp,0,241749,241749,241683,66,0,66,7378,1481,232824,0.9630815432535398,213946.76408550647
MJD,region_mlp,1,148251,148251,148250,1,0,1,1746,121,146383,0.9873997477251418,141205.0994128583
MJD,region_fourier,0,241749,241749,241683,66,0,66,7378,1481,232824,0.9630815432535398,213946.76408550647
MJD,region_fourier,1,148251,148251,148250,1,0,1,1746,121,146383,0.9873997477251418,141205.0994128583
MJD,summary_mlp,0,241749,241749,241683,66,0,66,7378,1481,232824,0.9630815432535398,213946.76408550647
MJD,summary_mlp,1,148251,148251,148250,1,0,1,1746,121,146383,0.9873997477251418,141205.0994128583
MJD,summary_fourier,0,241749,241749,241683,66,0,66,7378,1481,232824,0.9630815432535398,213946.76408550647
MJD,summary_fourier,1,148251,148251,148250,1,0,1,1746,121,146383,0.9873997477251418,141205.0994128583
