dataset,model_key,group,I_g,n_original_finite,n_in_range,n_retained,valid_bins,retained_fraction_original_finite,range_excluded,sparse_excluded
EXO-200,mvcnn,background,0.7708572758152501,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,mvcnn,signal,0.7314846282355841,66062,66059,65907,438,0.9976537192334474,3,152
EXO-200,gine,background,0.8093240197446663,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,gine,signal,0.7924560653249316,66062,66059,65907,438,0.9976537192334474,3,152
EXO-200,bigru,background,0.8032620385714758,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,bigru,signal,0.7738924451734733,66062,66059,65907,438,0.9976537192334474,3,152
EXO-200,mamba,background,0.7863330661129352,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,mamba,signal,0.7853834714015522,66062,66059,65907,438,0.9976537192334474,3,152
EXO-200,entity_mlp,background,0.7828013070678314,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,entity_mlp,signal,0.686804195266635,66062,66059,65907,438,0.9976537192334474,3,152
EXO-200,entity_fourier,background,0.7968576289492064,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,entity_fourier,signal,0.6545032374852409,66062,66059,65907,438,0.9976537192334474,3,152
EXO-200,region_mlp,background,0.8114894594184627,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,region_mlp,signal,0.7892944942503624,66062,66059,65907,438,0.9976537192334474,3,152
EXO-200,region_fourier,background,0.8131360661665017,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,region_fourier,signal,0.7645773472169122,66062,66059,65907,438,0.9976537192334474,3,152
EXO-200,summary_mlp,background,0.8183067208251469,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,summary_mlp,signal,0.7296099426625058,66062,66059,65907,438,0.9976537192334474,3,152
EXO-200,summary_fourier,background,0.8132039407759342,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,summary_fourier,signal,0.7894301479310415,66062,66059,65907,438,0.9976537192334474,3,152
EXO-200,region_rope,background,0.8245636840890357,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,region_rope,signal,0.7502407163482228,66062,66059,65907,438,0.9976537192334474,3,152
EXO-200,summary_rope,background,0.7740331046234852,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,summary_rope,signal,0.7712944848525404,66062,66059,65907,438,0.9976537192334474,3,152
EXO-200,entity_rope,background,0.767064405432106,74321,72898,72641,484,0.9773953525921342,1423,257
EXO-200,entity_rope,signal,0.6582535199021793,66062,66059,65907,438,0.9976537192334474,3,152
MJD,mvcnn,background,0.7763022627529025,241749,241683,241469,524,0.9988417739059934,66,214
MJD,mvcnn,signal,0.7324694660348018,148251,148250,148113,496,0.9990691462452193,1,137
MJD,gine,background,0.7911462666183967,241749,241683,241469,524,0.9988417739059934,66,214
MJD,gine,signal,0.8057257012477809,148251,148250,148113,496,0.9990691462452193,1,137
MJD,bigru,background,0.7729593564148224,241749,241683,241469,524,0.9988417739059934,66,214
MJD,bigru,signal,0.7790863909292658,148251,148250,148113,496,0.9990691462452193,1,137
MJD,mamba,background,0.7864790147179261,241749,241683,241469,524,0.9988417739059934,66,214
MJD,mamba,signal,0.7518769940363427,148251,148250,148113,496,0.9990691462452193,1,137
MJD,entity_mlp,clean,0.838756988924897,148251,148250,148113,496,0.9990691462452193,1,137
MJD,entity_mlp,nonclean,0.7949660598604947,241749,241683,241469,524,0.9988417739059934,66,214
MJD,entity_fourier,clean,0.8196282931062533,148251,148250,148113,496,0.9990691462452193,1,137
MJD,entity_fourier,nonclean,0.7913446608849487,241749,241683,241469,524,0.9988417739059934,66,214
MJD,region_mlp,clean,0.7935179086670803,148251,148250,148113,496,0.9990691462452193,1,137
MJD,region_mlp,nonclean,0.8012582382788429,241749,241683,241469,524,0.9988417739059934,66,214
MJD,region_fourier,clean,0.7868784008808406,148251,148250,148113,496,0.9990691462452193,1,137
MJD,region_fourier,nonclean,0.7880926928911294,241749,241683,241469,524,0.9988417739059934,66,214
MJD,summary_mlp,clean,0.8018696019772811,148251,148250,148113,496,0.9990691462452193,1,137
MJD,summary_mlp,nonclean,0.7972642591733516,241749,241683,241469,524,0.9988417739059934,66,214
MJD,summary_fourier,clean,0.7914435545005782,148251,148250,148113,496,0.9990691462452193,1,137
MJD,summary_fourier,nonclean,0.7758868162666858,241749,241683,241469,524,0.9988417739059934,66,214
